,Date,airt,uwind,vwind,wspd,wdir,wperm2,sst
0,1991-11-10,26.96,-5.8,3.7,6.9,302.2,258.83,27.22
1,1991-11-11,26.89,-3.4,2.5,4.2,306.4,267.41,27.28
2,1991-11-12,26.99,-4.4,2.2,4.9,296.8,264.05,27.5
3,1991-11-13,27.05,-6.3,2.3,6.7,289.9,273.25,27.31
4,1991-11-14,27.15,-7.2,1.6,7.4,282.5,270.71,27.23
5,1991-11-15,27.01,-6.5,0.8,6.5,277.0,189.82,27.19
6,1991-11-16,26.92,-6.6,-0.7,6.7,264.0,210.44,27.08
7,1991-11-17,26.94,-7.0,-0.9,7.1,262.9,265.9,27.14
8,1991-11-18,26.91,-6.9,1.6,7.1,283.0,264.54,27.2
9,1991-11-19,27.11,-7.1,1.9,7.3,284.8,261.21,27.15
10,1991-11-20,26.87,-7.2,-0.3,7.2,267.5,272.44,27.06
11,1991-11-21,26.83,-6.6,-0.4,6.6,266.8,217.17,27.07
12,1991-11-22,26.86,-5.1,1.0,5.2,281.4,265.37,27.09
13,1991-11-23,27.07,-7.2,2.6,7.7,289.7,232.88,27.19
14,1991-11-24,27.08,-7.8,0.4,7.8,272.6,260.87,27.27
15,1991-11-25,26.3,-7.1,1.4,7.3,281.3,187.98,27.16
16,1991-11-26,26.93,-6.6,2.2,7.0,288.6,258.24,27.03
17,1991-11-27,26.93,-6.0,1.9,6.3,287.3,255.58,27.05
18,1991-11-28,26.92,-6.3,0.0,6.3,269.7,242.42,27.09
19,1991-11-29,27.26,-5.7,-0.6,5.8,263.7,255.42,27.16
20,1991-11-30,27.54,-5.9,-2.2,6.3,249.8,249.97,27.19
21,1991-12-01,27.22,-6.5,-1.9,6.8,254.1,254.66,27.15
22,1991-12-02,27.17,-5.6,0.6,5.6,276.6,255.02,27.16
23,1991-12-03,27.24,-6.4,0.8,6.4,276.7,253.31,27.15
24,1991-12-04,27.15,-6.7,0.1,6.7,270.7,150.63,27.16
25,1991-12-05,27.06,-5.5,0.1,5.5,270.8,249.16,27.18
26,1991-12-06,26.91,-5.0,0.9,5.1,280.0,229.78,27.3
27,1991-12-07,27.21,-5.1,2.6,5.7,296.5,249.51,27.39
28,1991-12-08,27.1,-4.3,1.8,4.6,292.3,246.96,27.47
29,1991-12-09,27.19,-4.9,2.5,5.5,296.7,255.79,27.56
30,1991-12-10,27.27,-5.2,2.0,5.6,291.5,257.49,27.61
31,1991-12-11,27.07,-5.7,-2.5,6.2,246.7,247.79,27.63
32,1991-12-12,27.31,-5.4,-2.4,6.0,246.2,274.86,27.69
33,1991-12-13,27.53,-4.6,0.7,4.6,278.2,265.14,27.81
34,1991-12-14,27.41,-3.1,2.4,3.9,308.2,231.12,27.93
35,1991-12-15,27.52,-4.1,1.7,4.5,291.8,235.05,27.99
